study_id,harvest_year,obs_unit_id,obs_unit_rep_id,block,row,column,plot_id,sample_replicate_id,obs_unit_type,variety_factor_level,tab_variety_type,sample_date,tab_sb_assessment_date,sample_timing,tab_sb_wash_date,tab_sb_setup_date,ww_pla_cnt,ww_rts_cnt,ww_pla_tkal_cnt,ww_rts_tkal_cnt
2016-R-CS-760,2016,2016-R-CS-760-13,2016-R-CS-760-13-D,3,1,1,13,D,plot,Hereford,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,,,,
2016-R-CS-760,2016,2016-R-CS-760-13,2016-R-CS-760-13-E,3,1,1,13,E,plot,Hereford,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,9,53,9,44
2016-R-CS-760,2016,2016-R-CS-760-16,2016-R-CS-760-16-A,3,1,2,16,A,plot,Xi19,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,63,10,55
2016-R-CS-760,2016,2016-R-CS-760-16,2016-R-CS-760-16-B,3,1,2,16,B,plot,Xi19,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,58,10,35
2016-R-CS-760,2016,2016-R-CS-760-16,2016-R-CS-760-16-C,3,1,2,16,C,plot,Xi19,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,64,10,44
2016-R-CS-760,2016,2016-R-CS-760-16,2016-R-CS-760-16-D,3,1,2,16,D,plot,Xi19,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,67,10,54
2016-R-CS-760,2016,2016-R-CS-760-16,2016-R-CS-760-16-E,3,1,2,16,E,plot,Xi19,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,62,10,50
2016-R-CS-760,2016,2016-R-CS-760-17,2016-R-CS-760-17-A,3,1,3,17,A,plot,Hereward,HIGH,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,61,10,50
2016-R-CS-760,2016,2016-R-CS-760-17,2016-R-CS-760-17-B,3,1,3,17,B,plot,Hereward,HIGH,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,66,10,35
2016-R-CS-760,2016,2016-R-CS-760-17,2016-R-CS-760-17-C,3,1,3,17,C,plot,Hereward,HIGH,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,65,10,52
2016-R-CS-760,2016,2016-R-CS-760-17,2016-R-CS-760-17-D,3,1,3,17,D,plot,Hereward,HIGH,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,70,10,58
2016-R-CS-760,2016,2016-R-CS-760-17,2016-R-CS-760-17-E,3,1,3,17,E,plot,Hereward,HIGH,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,2,16,2,9
2016-R-CS-760,2016,2016-R-CS-760-14,2016-R-CS-760-14-A,3,2,1,14,A,plot,Barley - KWS Cassia,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,9,45,0,0
2016-R-CS-760,2016,2016-R-CS-760-14,2016-R-CS-760-14-B,3,2,1,14,B,plot,Barley - KWS Cassia,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,6,32,6,16
2016-R-CS-760,2016,2016-R-CS-760-14,2016-R-CS-760-14-C,3,2,1,14,C,plot,Barley - KWS Cassia,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,7,43,1,1
2016-R-CS-760,2016,2016-R-CS-760-14,2016-R-CS-760-14-D,3,2,1,14,D,plot,Barley - KWS Cassia,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,9,55,9,25
2016-R-CS-760,2016,2016-R-CS-760-14,2016-R-CS-760-14-E,3,2,1,14,E,plot,Barley - KWS Cassia,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,62,10,41
